Informe;Codigo de Producto;Lote;Fecha Informe;Fecha Recibido;Usuario;Cant Bultos;Cantidad Recibida;IDOrden
inf118199;62760;;03/06/2022;03/06/2022;crduna;0;991867;126085_2
inf118198;62760;;03/06/2022;03/06/2022;crduna;0;982674;126085_1
inf119509;63021;;14/06/2022;14/06/2022;crduna;0;211698;126085_3
inf120626;63021;;24/06/2022;24/06/2022;crduna;0;215416;125307_2
inf123264;62930;;12/07/2022;11/07/2022;crduna;0;219608;126976_2
inf123266;62930;;12/07/2022;11/07/2022;crduna;0;216857;126593_2
inf123265;63021;;12/07/2022;11/07/2022;crduna;0;218725;126593_1
inf123136;604534;92261;11/07/2022;11/07/2022;crduna;33;490060;126592_1
inf124934;602064;;22/07/2022;22/07/2022;crduna;0;992174;126976_4
inf124933;602064;;22/07/2022;22/07/2022;crduna;0;993178;126976_3
inf125232;63021;;27/07/2022;26/07/2022;crduna;0;194000;126976_1
inf127825;604634D;58819;16/08/2022;12/08/2022;crduna;2;38566;128340_3
inf127822;604634D;58818;16/08/2022;12/08/2022;crduna;2;38131;128340_2
inf127821;604634D;58817;16/08/2022;12/08/2022;crduna;2;34000;128340_1
inf127746;604534;92775;13/08/2022;13/08/2022;fball;34;497071;126982_1
inf127745;61060;92444;13/08/2022;13/08/2022;fball;118;587072;127155_1
inf133212;604534;93211;21/09/2022;15/09/2022;crduna;33;481546;126982_2
inf135317;604548;;05/10/2022;05/10/2022;crduna;0;971677;128256_1
inf137194;62760;;20/10/2022;20/10/2022;crduna;0;922957;128864_1
inf142704;63021;;29/11/2022;29/11/2022;crduna;0;216940;127986_1
inf145679;61060;93330;20/12/2022;19/12/2022;crduna;120;597162;128902_1
inf139533;62760;;04/11/2022;04/11/2022;crduna;0;987975;128864_2
inf142261;63021;;25/11/2022;25/11/2022;crduna;0;216437;127986_3
inf142705;63021;;29/11/2022;29/11/2022;crduna;0;220336;127986_2
inf141901;602064;;24/11/2022;23/11/2022;crduna;0;979183;128864_6
inf140261;62760;;10/11/2022;10/11/2022;crduna;0;989859;128864_3
inf143302;62760;;02/12/2022;02/12/2022;crduna;0;997295;128864_4
inf143303;602064;;02/12/2022;02/12/2022;crduna;0;988316;128864_5
inf124936;.;;22/07/2022;22/07/2022;crduna;0;1;124877_2
inf124935;.;;22/07/2022;22/07/2022;crduna;0;2;124877_1
inf104728;1609;;09/02/2022;09/02/2022;crduna;1;1650;124608_1
inf104721;1609;;09/02/2022;09/02/2022;crduna;3;1650;124360_2
inf104726;3273;;09/02/2022;09/02/2022;crduna;1;156;124605_2
inf104725;3273;;09/02/2022;09/02/2022;crduna;1;156;124605_1
inf104722;1609;;09/02/2022;09/02/2022;crduna;3;1650;124360_3
inf104727;3273;;09/02/2022;09/02/2022;crduna;1;156;124605_3
inf104720;1609;;09/02/2022;09/02/2022;crduna;6;3300;124360_1
inf111053;3275;;07/04/2022;06/04/2022;crduna;1;425;125742_10
inf111052;3275;;07/04/2022;06/04/2022;crduna;2;950;125742_9
inf111051;3273;;07/04/2022;06/04/2022;crduna;1;156;125742_8
inf111050;3273;;07/04/2022;06/04/2022;crduna;1;156;125742_7
inf111049;1609;;07/04/2022;06/04/2022;crduna;3;1650;125742_6
inf111048;1609;;07/04/2022;06/04/2022;crduna;3;1650;125742_5
inf111047;1609;;07/04/2022;06/04/2022;crduna;3;1650;125742_4
inf111046;3941;;07/04/2022;06/04/2022;crduna;1;3000;125742_3
inf111045;3941;;07/04/2022;06/04/2022;crduna;1;3000;125742_2
inf111054;3275;;07/04/2022;06/04/2022;crduna;1;425;125742_11
inf111044;3941;;07/04/2022;06/04/2022;crduna;2;6000;125742_1
inf112133;3941;;18/04/2022;13/04/2022;crduna;2;4405;125772_3
inf112131;1609;;18/04/2022;13/04/2022;crduna;5;2750;125772_1
inf112132;1003;;18/04/2022;13/04/2022;crduna;5;1655;125772_2
inf118892;32088;22ME6654;08/06/2022;06/06/2022;crduna;6;10000;123956_2
inf112664;22280;22MP2859;21/04/2022;11/04/2022;crduna;2;50000;125657_1
inf118988;256706;22MP2966;09/06/2022;07/06/2022;crduna;2;40;126678_1
inf118989;22280;22MP2967;09/06/2022;07/06/2022;crduna;3;75000;126570_1
inf121809;22540;22MP3010;01/07/2022;01/07/2022;crduna;20;500;127283_1
inf123073;21380;22MP3045;11/07/2022;08/07/2022;crduna;2;500;127928_1
inf130810;21820;22MP3208;05/09/2022;05/09/2022;fball;1;25000;127270_1
inf130803;22280;22MP3206;05/09/2022;05/09/2022;crduna;0;-25;128216_1
inf130801;22280;22MP3206;05/09/2022;05/09/2022;fball;1;25;128216_1
inf130913;256711;22MP3211;06/09/2022;06/09/2022;crduna;2;50;126147_1
inf130807;22280;22MP3207;05/09/2022;05/09/2022;fball;7;175000;128216_1
inf136250;22260;22MP3310;14/10/2022;14/10/2022;crduna;1;25000;124753_1
inf124111;256001;22MP3068;18/07/2022;18/07/2022;crduna;1;5;127709_1
inf124112;256000;22MP3069;18/07/2022;18/07/2022;crduna;1;5;127709_2
inf114882;253215;22MP2900;06/05/2022;05/05/2022;crduna;1;50;126568_1
inf114881;253215;22MP2899;06/05/2022;05/05/2022;crduna;3;150;126568_1
inf134308;253215;22MP3266;28/09/2022;28/09/2022;crduna;6;300;128218_1
inf115028;10870;22MP2901;09/05/2022;06/05/2022;crduna;1;500;124674_1
inf115030;10870;22MP2902;09/05/2022;06/05/2022;crduna;1;500;125709_1
inf131583;12279;22MP3224;10/09/2022;10/09/2022;fball;29;712,2;125817_1
inf131585;12279;22MP3226;10/09/2022;10/09/2022;fball;29;717,7;125817_1
inf131582;12279;22MP3223;10/09/2022;10/09/2022;fball;29;714,2;125817_1
inf131584;12279;22MP3225;10/09/2022;10/09/2022;fball;29;711,5;125817_1
inf131579;12279;22MP3220;10/09/2022;10/09/2022;fball;28;677,4;125817_1
inf131581;12279;22MP3222;10/09/2022;10/09/2022;fball;28;687,09;125817_1
inf131580;12279;22MP3221;10/09/2022;10/09/2022;fball;28;694,99;125817_1
inf131586;12279;22MP3227;10/09/2022;10/09/2022;fball;4;84,92;125817_1
inf136692;11230;22MP3315;18/10/2022;18/10/2022;crduna;5;125;127103_1
inf136693;11230;22MP3316;18/10/2022;18/10/2022;crduna;3;75;127103_1
inf138586;12279;22MP3361;31/10/2022;28/10/2022;crduna;26;625,18;126365_1
inf138588;12279;22MP3362;31/10/2022;28/10/2022;crduna;29;721,4;126365_1
inf138589;12279;22MP3363;31/10/2022;28/10/2022;crduna;29;722,7;126365_1
inf138590;12279;22MP3364;31/10/2022;28/10/2022;crduna;29;723,6;126365_1
inf138591;12279;22MP3365;31/10/2022;28/10/2022;crduna;30;731,8;126365_1
inf138594;12279;22MP3366;31/10/2022;28/10/2022;crduna;30;734,3;126365_1
inf138597;12279;22MP3367;31/10/2022;28/10/2022;crduna;29;723,4;126365_1
inf138598;12279;22MP3368;31/10/2022;28/10/2022;crduna;25;617,62;126365_1
inf140753;12279;22MP3413;15/11/2022;14/11/2022;crduna;28;699,2;126704_1
inf140741;12279;22MP3408;15/11/2022;14/11/2022;crduna;29;723,3;126704_1
inf140739;12279;22MP3407;15/11/2022;14/11/2022;crduna;5;106,88;126704_1
inf140752;12279;22MP3412;15/11/2022;14/11/2022;crduna;28;697,5;126704_1
inf140743;12279;22MP3409;15/11/2022;14/11/2022;crduna;29;719,8;126704_1
inf140746;12279;22MP3410;15/11/2022;14/11/2022;crduna;29;724,4;126704_1
inf140755;12279;22MP3414;15/11/2022;14/11/2022;crduna;25;622,42;126704_1
inf140748;12279;22MP3411;15/11/2022;14/11/2022;crduna;29;706,5;126704_1
inf101654;20336;22MP2638;11/01/2022;11/01/2022;crduna;12;1080;122522_1
inf111779;11941;22MP2847;12/04/2022;11/04/2022;crduna;5;10;124731_1
inf123074;136008;22MP3046;11/07/2022;08/07/2022;crduna;12;300;126345_1
inf123072;11941;22MP3044;11/07/2022;08/07/2022;crduna;3;15;126275_1
inf123411;254600;22MP3050;13/07/2022;13/07/2022;crduna;2;45,352;127925_1
inf124380;10580;22MP3073;19/07/2022;14/07/2022;crduna;3;75;126274_1
inf125922;10580;22MP3097;01/08/2022;29/07/2022;crduna;1;25;126274_1
inf126509;137007;22MP3120;04/08/2022;04/08/2022;crduna;8;8;126140_1
inf126511;137009;22MP3121;04/08/2022;04/08/2022;crduna;6;150;126139_1
inf130622;11941;22MP3205;05/09/2022;02/09/2022;crduna;4;20;127098_1
inf135592;20336;22MP3283;06/10/2022;06/10/2022;crduna;1;90;128569_1
inf135593;20336;22MP3284;06/10/2022;06/10/2022;crduna;4;360;128569_1
inf143650;10580;22MP3498;06/12/2022;05/12/2022;crduna;6;150;128739_1
inf140730;256002;22MP3404;15/11/2022;14/11/2022;crduna;1;25;128570_1
inf123447;137013D;22DE0196;13/07/2022;11/07/2022;crduna;1;0,5;126686_1
inf133825;10110;22MP3258;23/09/2022;22/09/2022;crduna;5;100;126349_1
inf136616;10110;22MP3312;17/10/2022;17/10/2022;crduna;2;36,1;128222_1
inf136617;10110;22MP3313;17/10/2022;17/10/2022;crduna;10;183,9;128222_1
inf136618;10110;22MP3314;17/10/2022;17/10/2022;crduna;7;130;128222_1
inf130075;.;;31/08/2022;30/08/2022;crduna;0;1;128502_1
inf130522;253218;22MP3203;02/09/2022;01/09/2022;crduna;65;4225000;124457_1
inf102161;133182;22MP2661;15/01/2022;15/01/2022;mcruz;6;106,9;124744_1
inf102159;133182;22MP2660;15/01/2022;15/01/2022;mcruz;6;104,1;124744_1
inf102155;133182;22MP2659;15/01/2022;15/01/2022;mcruz;5;86,4;121379_2
inf103722;133182;22MP2686;28/01/2022;28/01/2022;crduna;6;117,5;121379_2
inf103721;133182;22MP2685;28/01/2022;28/01/2022;crduna;5;86;121379_2
inf103720;133182;22MP2684;28/01/2022;28/01/2022;crduna;5;82,9;118012_1
inf103716;133182;22MP2683;28/01/2022;28/01/2022;crduna;6;113,8;118012_1
inf107308;133182;22MP2771;08/03/2022;04/03/2022;crduna;6;112,55;125393_1
inf107306;133182;22MP2770;08/03/2022;04/03/2022;crduna;5;89,25;125393_1
inf112557;133182;22MP2858;20/04/2022;19/04/2022;crduna;7;134;124956_1
inf122176;133182;22MP3020;05/07/2022;04/07/2022;crduna;5;92,75;123383_1
inf122183;133182;22MP3022;05/07/2022;04/07/2022;crduna;5;94,75;123383_1
inf122184;133182;22MP3023;05/07/2022;04/07/2022;crduna;7;128,05;123383_1
inf122185;133182;22MP3024;05/07/2022;04/07/2022;crduna;6;104,85;123383_1
inf122177;133182;22MP3021;05/07/2022;04/07/2022;crduna;5;97,95;123383_1
inf127760;10995;22MP3148;13/08/2022;13/08/2022;fball;18;450;124720_1
inf127759;10995;22MP3147;13/08/2022;13/08/2022;fball;14;350;124720_1
inf127773;10995;22MP3150;16/08/2022;16/08/2022;crduna;18;450;124720_2
inf133288;10995;22MP3247;21/09/2022;20/09/2022;crduna;16;400;125955_1
inf133289;10995;22MP3248;21/09/2022;20/09/2022;crduna;16;400;125955_1
inf146551;10995;22MP3526;23/12/2022;17/12/2022;crduna;18;441;127488_1
inf106287;12100;22MP2751;23/02/2022;23/02/2022;mcruz;7;175;120953_2
inf106292;12100;22MP2752;23/02/2022;23/02/2022;mcruz;11;275;120953_2
inf106294;12100;22MP2753;23/02/2022;23/02/2022;mcruz;11;275;120953_2
inf106295;12100;22MP2754;23/02/2022;23/02/2022;mcruz;8;200;120953_2
inf111568;12045;22MP2846;11/04/2022;11/04/2022;crduna;1;5;123511_1
inf112380;12100;22MP2854;18/04/2022;18/04/2022;mcruz;11;275;123512_1
inf112378;12100;22MP2852;18/04/2022;18/04/2022;mcruz;11;275;123512_1
inf112381;12100;22MP2855;18/04/2022;18/04/2022;mcruz;7;175;123512_1
inf112379;12100;22MP2853;18/04/2022;18/04/2022;mcruz;11;275;123512_1
inf115506;IMPEVI1;;12/05/2022;10/05/2022;crduna;0;1;125320_12
inf115498;IMPEVI1;;12/05/2022;10/05/2022;crduna;0;1;125320_4
inf115504;IMPEVI1;;12/05/2022;10/05/2022;crduna;0;1;125320_10
inf115503;IMPEVI1;;12/05/2022;10/05/2022;crduna;0;1;125320_9
inf115497;IMPEVI1;;12/05/2022;10/05/2022;crduna;0;1;125320_3
inf115495;IMPEVI1;;12/05/2022;10/05/2022;crduna;0;1;125320_1
inf115496;IMPEVI1;;12/05/2022;10/05/2022;crduna;0;1;125320_2
inf115502;IMPEVI1;;12/05/2022;10/05/2022;crduna;0;1;125320_8
inf115501;IMPEVI1;;12/05/2022;10/05/2022;crduna;0;1;125320_7
inf115500;IMPEVI1;;12/05/2022;10/05/2022;crduna;0;1;125320_6
inf115499;IMPEVI1;;12/05/2022;10/05/2022;crduna;0;1;125320_5
inf115505;IMPEVI1;;12/05/2022;10/05/2022;crduna;0;1;125320_11
inf130861;136034;22MP3209;06/09/2022;05/09/2022;crduna;7;123,95;128484_1
inf133390;12045;22MP3251;22/09/2022;12/09/2022;crduna;1;5;126998_1
inf130862;136034;22MP3210;06/09/2022;05/09/2022;crduna;7;124,25;128484_1
inf131046;12100;22MP3215;07/09/2022;06/09/2022;crduna;10;250;125957_1
inf131043;12100;22MP3214;07/09/2022;06/09/2022;crduna;11;275;125957_1
inf131042;12100;22MP3213;07/09/2022;06/09/2022;crduna;7;175;125957_1
inf135958;136039;22MP3295;12/10/2022;12/10/2022;crduna;12;460,1;124685_1
inf135959;136039;22MP3296;12/10/2022;12/10/2022;crduna;5;196,2;124685_1
inf135960;136006;22MP3297;12/10/2022;12/10/2022;crduna;12;461,2;127607_1
inf135962;136006;22MP3298;12/10/2022;12/10/2022;crduna;12;458;127607_1
inf135965;136039;22MP3299;12/10/2022;12/10/2022;crduna;12;462;126362_1
inf135966;136039;22MP3300;12/10/2022;12/10/2022;crduna;12;461,5;126362_1
inf137109;12100;22MP3325;20/10/2022;19/10/2022;crduna;1;25;127456_1
inf137110;12100;22MP3326;20/10/2022;19/10/2022;crduna;5;125;127456_1
inf137111;12100;22MP3327;20/10/2022;19/10/2022;crduna;11;275;127456_1
inf137113;12100;22MP3328;20/10/2022;19/10/2022;crduna;11;275;127456_1
inf137114;12100;22MP3329;20/10/2022;19/10/2022;crduna;11;275;127456_1
inf137115;12100;22MP3330;20/10/2022;19/10/2022;crduna;11;275;127456_1
inf137116;12100;22MP3331;20/10/2022;19/10/2022;crduna;6;150;127456_1
inf144967;11680;22MP3506;15/12/2022;07/12/2022;crduna;1;4940;127473_1
inf106328;.;;23/02/2022;23/02/2022;mcruz;0;4;124968_2
inf106327;.;;23/02/2022;23/02/2022;mcruz;0;4;124968_1
inf108813;.;;21/03/2022;21/03/2022;crduna;0;1;125367_1
inf108814;.;;21/03/2022;21/03/2022;crduna;0;1;123173_1
inf109117;.;;22/03/2022;22/03/2022;mcruz;0;1;123173_1
inf109792;.;;30/03/2022;30/03/2022;crduna;0;2;125729_1
inf110118;.;;01/04/2022;01/04/2022;crduna;0;1;125367_2
inf113567;.;;29/04/2022;25/04/2022;crduna;0;1;125292_1
inf119419;.;;13/06/2022;10/06/2022;crduna;0;4;127007_1
inf120524;.;;23/06/2022;22/06/2022;crduna;0;2;125729_2
inf125947;.;;01/08/2022;01/08/2022;fball;0;3;126178_1
inf130026;.;;31/08/2022;30/08/2022;rmoreno;0;15;128843_1
inf130027;.;;31/08/2022;30/08/2022;rmoreno;0;15;128843_2
inf134571;.;;29/09/2022;29/09/2022;crduna;0;2;128984_3
inf130811;.;;05/09/2022;05/09/2022;rmoreno;0;7;127007_1
inf133271;.;;21/09/2022;21/09/2022;crduna;0;2;128680_1
inf133718;.;;23/09/2022;23/09/2022;rmoreno;0;10;128984_2
inf133717;.;;23/09/2022;23/09/2022;rmoreno;0;4;128984_1
inf141957;.;;24/11/2022;22/11/2022;rmoreno;0;30;129107_1
inf101659;.;;11/01/2022;11/01/2022;crduna;0;6;122258_3
inf102068;.;;14/01/2022;13/01/2022;hmunoz;0;1;123517_1
inf102063;.;;14/01/2022;13/01/2022;hmunoz;0;2;121508_8
inf102061;.;;14/01/2022;13/01/2022;hmunoz;0;42;121151_14
inf102057;.;;14/01/2022;13/01/2022;hmunoz;0;28;121151_14
inf102056;12400;J3410;14/01/2022;13/01/2022;hmunoz;3;18;124888_1
inf102065;.;;14/01/2022;13/01/2022;hmunoz;0;250;124779_1
inf102067;.;;14/01/2022;13/01/2022;hmunoz;0;30;123806_3
inf102055;.;;14/01/2022;13/01/2022;hmunoz;0;6;124891_1
inf102721;12640;;19/01/2022;19/01/2022;fball;12;12;121645_3
inf102685;12640;;19/01/2022;19/01/2022;fball;12;12;122258_25
inf102714;12640;;19/01/2022;19/01/2022;fball;12;12;121645_2
inf102701;12640;;19/01/2022;19/01/2022;fball;10;10;121645_1
inf102687;.;;19/01/2022;19/01/2022;fball;0;1;124797_1
inf103399;12640;L1300;25/01/2022;25/01/2022;fball;12;12;121645_4
inf103392;12640;L1300;25/01/2022;25/01/2022;fball;12;12;121645_6
inf103391;12640;L1300;25/01/2022;25/01/2022;fball;12;12;122258_29
inf103393;12640;L1300;25/01/2022;25/01/2022;fball;10;10;121645_5
inf103469;10001;L050C;26/01/2022;26/01/2022;crduna;2;15;121788_4
inf103466;.;;26/01/2022;26/01/2022;crduna;0;10;123346_3
inf103462;3276;;26/01/2022;26/01/2022;crduna;8;2000;124712_1
inf103463;.;;26/01/2022;26/01/2022;crduna;0;26;122549_1
inf103464;.;;26/01/2022;26/01/2022;crduna;0;1;123346_1
inf103465;.;;26/01/2022;26/01/2022;crduna;0;1;123346_2
inf103467;.;;26/01/2022;26/01/2022;crduna;0;6;123346_4
inf103468;.;;26/01/2022;26/01/2022;crduna;0;2;123283_2
inf103470;10001;EC036;26/01/2022;26/01/2022;crduna;1;8;121788_1
inf103471;10001;EC036;26/01/2022;26/01/2022;crduna;1;8;121788_2
inf103472;10001;EC036;26/01/2022;26/01/2022;crduna;1;8;121788_3
inf104063;3276;;02/02/2022;02/02/2022;crduna;4;1000;124712_1
inf104062;.;;02/02/2022;02/02/2022;crduna;0;8;122549_2
inf104061;.;;02/02/2022;02/02/2022;crduna;0;4;122549_1
inf104059;.;;02/02/2022;02/02/2022;crduna;0;2;122764_1
inf104989;.;;11/02/2022;09/02/2022;crduna;0;30;123806_4
inf104996;.;;11/02/2022;09/02/2022;crduna;0;24;121648_5
inf104994;10001;EC036;11/02/2022;09/02/2022;crduna;1;4;121788_4
inf105440;.;;16/02/2022;16/02/2022;crduna;0;50;123747_18
inf105441;.;;16/02/2022;16/02/2022;crduna;0;288;121151_8
inf105442;.;;16/02/2022;16/02/2022;crduna;0;50;121151_15
inf105445;.;;16/02/2022;16/02/2022;crduna;0;1;125252_1
inf105447;.;;16/02/2022;16/02/2022;crduna;0;256;122258_10
inf105448;12380;K1700;16/02/2022;16/02/2022;crduna;2;12;122258_13
inf105449;.;;16/02/2022;16/02/2022;crduna;0;2;122258_16
inf105450;.;;16/02/2022;16/02/2022;crduna;0;4;122258_16
inf105451;12460;203403;16/02/2022;16/02/2022;crduna;8;124;122258_20
inf105452;12460;207910;16/02/2022;16/02/2022;crduna;3;36;122258_20
inf105453;12620;199019;16/02/2022;16/02/2022;crduna;1;16;122258_23
inf105455;12640;L1300;16/02/2022;16/02/2022;crduna;1;6;122258_26
inf106652;.;;02/03/2022;02/03/2022;crduna;0;4;123747_16
inf106653;.;;02/03/2022;02/03/2022;crduna;0;1;124431_1
inf106654;12460;207910;02/03/2022;02/03/2022;crduna;18;288;121644_7
inf106655;10001;EC036;02/03/2022;02/03/2022;crduna;1;12;121788_4
inf107645;.;;09/03/2022;09/03/2022;mcruz;0;4;123682_1
inf107646;.;;09/03/2022;09/03/2022;mcruz;0;30;123806_5
inf108401;12460;207910;16/03/2022;16/03/2022;mcruz;40;160;122258_21
inf108399;.;;16/03/2022;16/03/2022;mcruz;0;160;121151_9
inf108391;.;;16/03/2022;16/03/2022;mcruz;0;2;122309_4
inf108398;.;;16/03/2022;16/03/2022;mcruz;0;32;121151_9
inf108397;.;;16/03/2022;16/03/2022;mcruz;0;96;121151_9
inf108392;.;;16/03/2022;16/03/2022;mcruz;0;22;122549_2
inf108400;.;;16/03/2022;16/03/2022;mcruz;0;256;122258_11
inf109851;.;;30/03/2022;17/03/2022;crduna;0;32;122217_4
inf109849;2897;1903399;30/03/2022;17/03/2022;crduna;1;1000;125755_1
inf109852;.;;30/03/2022;17/03/2022;crduna;0;24;121648_6
inf109853;3276;;30/03/2022;17/03/2022;crduna;8;2000;125945_1
inf109162;.;;23/03/2022;23/03/2022;crduna;0;1;123286_1
inf109165;.;;23/03/2022;23/03/2022;crduna;0;50;121151_16
inf111002;12460;207910;06/04/2022;06/04/2022;mcruz;40;160;122258_22
inf110996;.;;06/04/2022;06/04/2022;mcruz;0;1;125160_1
inf110991;.;;06/04/2022;06/04/2022;mcruz;0;25;125986_1
inf110992;.;;06/04/2022;06/04/2022;mcruz;0;30;123806_6
inf110993;.;;06/04/2022;06/04/2022;mcruz;0;1;125225_1
inf111001;.;;06/04/2022;06/04/2022;mcruz;0;256;122258_12
inf110994;.;;06/04/2022;06/04/2022;mcruz;0;1;125204_1
inf110995;.;;06/04/2022;06/04/2022;mcruz;0;1;125204_2
inf110998;.;;06/04/2022;06/04/2022;mcruz;0;288;125918_1
inf110997;.;;06/04/2022;06/04/2022;mcruz;0;2;123061_3
inf112138;.;;18/04/2022;13/04/2022;crduna;0;1;125248_1
inf112142;.;;18/04/2022;13/04/2022;crduna;0;1;126151_3
inf112135;.;;18/04/2022;13/04/2022;crduna;0;3;126310_1
inf112140;.;;18/04/2022;13/04/2022;crduna;0;6;126151_1
inf112136;.;;18/04/2022;13/04/2022;crduna;0;1;125020_1
inf112137;.;;18/04/2022;13/04/2022;crduna;0;50;126154_1
inf112141;.;;18/04/2022;13/04/2022;crduna;0;11;126151_3
inf112139;.;;18/04/2022;13/04/2022;crduna;0;1;126199_1
inf113871;3276;;02/05/2022;26/04/2022;crduna;8;2000;125945_2
inf114450;10001;EC036;04/05/2022;04/05/2022;crduna;3;12;126631_1
inf115660;.;;13/05/2022;11/05/2022;crduna;0;1;124777_1
inf115658;.;;13/05/2022;11/05/2022;crduna;0;2;121508_11
inf115623;.;;12/05/2022;11/05/2022;crduna;0;3;126320_1
inf115619;.;;12/05/2022;11/05/2022;crduna;0;1;125640_1
inf115659;.;;13/05/2022;11/05/2022;crduna;0;6;126151_2
inf116761;.;;23/05/2022;20/05/2022;crduna;0;5;125499_1
inf116762;2897;;23/05/2022;20/05/2022;crduna;1;1000;124904_1
inf116768;2897;1903399;23/05/2022;20/05/2022;crduna;1;1000;124904_1
inf116769;2897;1913682;23/05/2022;20/05/2022;crduna;1;1000;124904_1
inf116763;2897;1913682;23/05/2022;20/05/2022;crduna;1;1;124904_1
inf116767;2897;;23/05/2022;23/05/2022;crduna;0;-1000;124904_1
inf117367;.;;30/05/2022;27/05/2022;crduna;0;8;126783_1
inf117368;.;;30/05/2022;27/05/2022;crduna;0;340;126996_1
inf118406;.;;06/06/2022;01/06/2022;crduna;0;1;124149_1
inf118407;3276;;06/06/2022;01/06/2022;crduna;8;2000;125945_3
inf119176;10001;EC036;09/06/2022;08/06/2022;crduna;2;24;126631_2
inf119174;.;;09/06/2022;08/06/2022;crduna;0;340;126996_2
inf119175;.;;09/06/2022;08/06/2022;crduna;0;1;127064_1
inf119891;.;;16/06/2022;15/06/2022;crduna;0;1;127371_1
inf119892;.;;16/06/2022;15/06/2022;crduna;0;2,5;127314_1
inf121995;.;;04/07/2022;30/06/2022;crduna;0;15;126745_1
inf121989;3276;;04/07/2022;30/06/2022;crduna;8;2000;127335_1
inf121992;.;;04/07/2022;30/06/2022;crduna;0;288;126996_3
inf121994;.;;04/07/2022;30/06/2022;crduna;0;1;126773_1
inf123729;12460;213525;14/07/2022;14/07/2022;crduna;18;288;127832_1
inf123727;10001;EC036;14/07/2022;14/07/2022;crduna;2;28;126631_3
inf123726;3366;76245;14/07/2022;14/07/2022;crduna;1;2;127206_1
inf124487;.;;20/07/2022;19/07/2022;crduna;0;1;128048_1
inf124486;.;;20/07/2022;19/07/2022;crduna;0;50;126154_2
inf125864;.;;01/08/2022;01/08/2022;fball;0;40;128094_1
inf125874;.;;01/08/2022;01/08/2022;fball;0;1;127376_1
inf125862;.;;01/08/2022;01/08/2022;fball;0;8;128088_6
inf125859;.;;01/08/2022;01/08/2022;fball;0;8;128088_1
inf125879;.;;01/08/2022;01/08/2022;fball;0;32;128095_1
inf125878;.;;01/08/2022;01/08/2022;fball;0;1;128065_4
inf125877;.;;01/08/2022;01/08/2022;fball;0;2;128065_3
inf125876;.;;01/08/2022;01/08/2022;fball;0;2;128065_2
inf125923;12400;L3130;01/08/2022;01/08/2022;fball;5;30;122258_14
inf125875;.;;01/08/2022;01/08/2022;fball;0;1;128087_2
inf125863;.;;01/08/2022;01/08/2022;fball;0;8;128088_14
inf126584;.;;04/08/2022;03/08/2022;crduna;0;32;128178_2
inf126595;12400;L3130;04/08/2022;03/08/2022;crduna;12;72;127904_6
inf126589;.;;04/08/2022;03/08/2022;crduna;0;40;128094_2
inf126591;.;;04/08/2022;03/08/2022;crduna;0;1;128051_1
inf126592;.;;04/08/2022;03/08/2022;crduna;0;3;128083_1
inf126583;.;;04/08/2022;03/08/2022;crduna;0;32;128178_1
inf127189;.;;10/08/2022;10/08/2022;fball;0;2;125755_2
inf127190;.;;10/08/2022;10/08/2022;fball;0;288;126996_4
inf127179;.;;10/08/2022;10/08/2022;fball;0;400;126987_1
inf127923;12460;217031;17/08/2022;17/08/2022;fball;36;144;127904_10
inf127941;12460;213525;17/08/2022;17/08/2022;fball;72;288;127832_2
inf128444;.;;19/08/2022;19/08/2022;fball;0;5;125499_2
