Informe;IDOrden;Codigo de Producto;Descripcion;Lote;Fecha Informe;Fecha Recibido;Usuario;Cant Bultos;Cantidad Recibida;TiPo Compra;IDAlmacen;almacen;IDProveedor;proveedor;tipo material
inf123073;127928_1;21380;GLICERINA;22MP3045;11/07/2022;08/07/2022;crduna;2;500;P;2;Argentina;6;UERIA BEIRO S.R.L.;MP
inf130810;127270_1;21820;METILPARABENO;22MP3208;05/09/2022;05/09/2022;fball;1;25000;P;1;Uruguay;6;UERIA BEIRO S.R.L.;MP
inf130803;128216_1;22280;SACARINA SODICA;22MP3206;05/09/2022;05/09/2022;crduna;0;-25;P;2;Argentina;6;UERIA BEIRO S.R.L.;MP
inf130801;128216_1;22280;SACARINA SODICA;22MP3206;05/09/2022;05/09/2022;fball;1;25;P;2;Argentina;6;UERIA BEIRO S.R.L.;MP
inf130913;126147_1;256711;HIDROXIDO DE SODIO P.A;22MP3211;06/09/2022;06/09/2022;crduna;2;50;P;1;Uruguay;6;UERIA BEIRO S.R.L.;MP
inf130807;128216_1;22280;SACARINA SODICA;22MP3207;05/09/2022;05/09/2022;fball;7;175000;P;2;Argentina;6;UERIA BEIRO S.R.L.;MP
inf136250;124753_1;22260;PROPILPARABENO;22MP3310;14/10/2022;14/10/2022;crduna;1;25000;P;1;Uruguay;6;UERIA BEIRO S.R.L.;MP
inf124111;127709_1;256001;AROMATIZANTE EUCALIPTO;22MP3068;18/07/2022;18/07/2022;crduna;1;5;P;2;Argentina;7;S Y CIA.;MP
inf124112;127709_2;256000;AROMATIZANTE MENTA;22MP3069;18/07/2022;18/07/2022;crduna;1;5;P;2;Argentina;7;S Y CIA.;MP
inf114882;126568_1;253215;CELULOSA MICROCRISTALINA;22MP2900;06/05/2022;05/05/2022;crduna;1;50;P;2;Argentina;8;UCTOS DESTILADOS SAIC;MP
inf114881;126568_1;253215;CELULOSA MICROCRISTALINA;22MP2899;06/05/2022;05/05/2022;crduna;3;150;P;2;Argentina;8;UCTOS DESTILADOS SAIC;MP
inf134308;128218_1;253215;CELULOSA MICROCRISTALINA;22MP3266;28/09/2022;28/09/2022;crduna;6;300;P;2;Argentina;8;UCTOS DESTILADOS SAIC;MP
inf115028;124674_1;10870;ETINILESTRADIOL;22MP2901;09/05/2022;06/05/2022;crduna;1;500;P;1;Uruguay;9;OCHEM A.G.;MP
inf115030;125709_1;10870;ETINILESTRADIOL;22MP2902;09/05/2022;06/05/2022;crduna;1;500;P;1;Uruguay;9;OCHEM A.G.;MP
inf131583;125817_1;12279;VALSARTAN;22MP3224;10/09/2022;10/09/2022;fball;29;712,2;P;1;Uruguay;9;OCHEM A.G.;MP
inf131585;125817_1;12279;VALSARTAN;22MP3226;10/09/2022;10/09/2022;fball;29;717,7;P;1;Uruguay;9;OCHEM A.G.;MP
inf131582;125817_1;12279;VALSARTAN;22MP3223;10/09/2022;10/09/2022;fball;29;714,2;P;1;Uruguay;9;OCHEM A.G.;MP
inf131584;125817_1;12279;VALSARTAN;22MP3225;10/09/2022;10/09/2022;fball;29;711,5;P;1;Uruguay;9;OCHEM A.G.;MP
inf131579;125817_1;12279;VALSARTAN;22MP3220;10/09/2022;10/09/2022;fball;28;677,4;P;1;Uruguay;9;OCHEM A.G.;MP
inf131581;125817_1;12279;VALSARTAN;22MP3222;10/09/2022;10/09/2022;fball;28;687,09;P;1;Uruguay;9;OCHEM A.G.;MP
inf131580;125817_1;12279;VALSARTAN;22MP3221;10/09/2022;10/09/2022;fball;28;694,99;P;1;Uruguay;9;OCHEM A.G.;MP
inf131586;125817_1;12279;VALSARTAN;22MP3227;10/09/2022;10/09/2022;fball;4;84,92;P;1;Uruguay;9;OCHEM A.G.;MP
inf136692;127103_1;11230;LORATADINA MICRO;22MP3315;18/10/2022;18/10/2022;crduna;5;125;P;1;Uruguay;9;OCHEM A.G.;MP
inf136693;127103_1;11230;LORATADINA MICRO;22MP3316;18/10/2022;18/10/2022;crduna;3;75;P;1;Uruguay;9;OCHEM A.G.;MP
inf138586;126365_1;12279;VALSARTAN;22MP3361;31/10/2022;28/10/2022;crduna;26;625,18;P;1;Uruguay;9;OCHEM A.G.;MP
inf138588;126365_1;12279;VALSARTAN;22MP3362;31/10/2022;28/10/2022;crduna;29;721,4;P;1;Uruguay;9;OCHEM A.G.;MP
inf138589;126365_1;12279;VALSARTAN;22MP3363;31/10/2022;28/10/2022;crduna;29;722,7;P;1;Uruguay;9;OCHEM A.G.;MP
inf138590;126365_1;12279;VALSARTAN;22MP3364;31/10/2022;28/10/2022;crduna;29;723,6;P;1;Uruguay;9;OCHEM A.G.;MP
inf138591;126365_1;12279;VALSARTAN;22MP3365;31/10/2022;28/10/2022;crduna;30;731,8;P;1;Uruguay;9;OCHEM A.G.;MP
inf138594;126365_1;12279;VALSARTAN;22MP3366;31/10/2022;28/10/2022;crduna;30;734,3;P;1;Uruguay;9;OCHEM A.G.;MP
inf138597;126365_1;12279;VALSARTAN;22MP3367;31/10/2022;28/10/2022;crduna;29;723,4;P;1;Uruguay;9;OCHEM A.G.;MP
inf138598;126365_1;12279;VALSARTAN;22MP3368;31/10/2022;28/10/2022;crduna;25;617,62;P;1;Uruguay;9;OCHEM A.G.;MP
inf140753;126704_1;12279;VALSARTAN;22MP3413;15/11/2022;14/11/2022;crduna;28;699,2;P;1;Uruguay;9;OCHEM A.G.;MP
inf140741;126704_1;12279;VALSARTAN;22MP3408;15/11/2022;14/11/2022;crduna;29;723,3;P;1;Uruguay;9;OCHEM A.G.;MP
inf140739;126704_1;12279;VALSARTAN;22MP3407;15/11/2022;14/11/2022;crduna;5;106,88;P;1;Uruguay;9;OCHEM A.G.;MP
inf140752;126704_1;12279;VALSARTAN;22MP3412;15/11/2022;14/11/2022;crduna;28;697,5;P;1;Uruguay;9;OCHEM A.G.;MP
inf140743;126704_1;12279;VALSARTAN;22MP3409;15/11/2022;14/11/2022;crduna;29;719,8;P;1;Uruguay;9;OCHEM A.G.;MP
inf140746;126704_1;12279;VALSARTAN;22MP3410;15/11/2022;14/11/2022;crduna;29;724,4;P;1;Uruguay;9;OCHEM A.G.;MP
inf140755;126704_1;12279;VALSARTAN;22MP3414;15/11/2022;14/11/2022;crduna;25;622,42;P;1;Uruguay;9;OCHEM A.G.;MP
inf140748;126704_1;12279;VALSARTAN;22MP3411;15/11/2022;14/11/2022;crduna;29;706,5;P;1;Uruguay;9;OCHEM A.G.;MP
inf101654;122522_1;20336;CARBONATO DE CALCIO 90 %;22MP2638;11/01/2022;11/01/2022;crduna;12;1080;P;2;Argentina;10;ARMA S.A.;MP
inf111779;124731_1;11941;PRIDINOL MESILATO;22MP2847;12/04/2022;11/04/2022;crduna;5;10;P;2;Argentina;10;ARMA S.A.;MP
inf123074;126345_1;136008;HIDROCLOROTIAZIDA;22MP3046;11/07/2022;08/07/2022;crduna;12;300;P;2;Argentina;10;ARMA S.A.;MP
inf123072;126275_1;11941;PRIDINOL MESILATO;22MP3044;11/07/2022;08/07/2022;crduna;3;15;P;2;Argentina;10;ARMA S.A.;MP
inf123411;127925_1;254600;MONOGLICERIDOS DIGLICERID;22MP3050;13/07/2022;13/07/2022;crduna;2;45,352;P;1;Uruguay;10;ARMA S.A.;MP
inf124380;126274_1;10580;CISTEINA CLORHIDRATO;22MP3073;19/07/2022;14/07/2022;crduna;3;75;P;2;Argentina;10;ARMA S.A.;MP
inf125922;126274_1;10580;CISTEINA CLORHIDRATO;22MP3097;01/08/2022;29/07/2022;crduna;1;25;P;2;Argentina;10;ARMA S.A.;MP
inf126509;126140_1;137007;ACETATO DE HIDROCORTISON;22MP3120;04/08/2022;04/08/2022;crduna;8;8;P;1;Uruguay;10;ARMA S.A.;MP
inf126511;126139_1;137009;LIDOCAINA BASE;22MP3121;04/08/2022;04/08/2022;crduna;6;150;P;1;Uruguay;10;ARMA S.A.;MP
inf130622;127098_1;11941;PRIDINOL MESILATO;22MP3205;05/09/2022;02/09/2022;crduna;4;20;P;2;Argentina;10;ARMA S.A.;MP
inf135592;128569_1;20336;CARBONATO DE CALCIO 90 %;22MP3283;06/10/2022;06/10/2022;crduna;1;90;P;2;Argentina;10;ARMA S.A.;MP
inf135593;128569_1;20336;CARBONATO DE CALCIO 90 %;22MP3284;06/10/2022;06/10/2022;crduna;4;360;P;2;Argentina;10;ARMA S.A.;MP
inf143650;128739_1;10580;CISTEINA CLORHIDRATO;22MP3498;06/12/2022;05/12/2022;crduna;6;150;P;2;Argentina;10;ARMA S.A.;MP
inf140730;128570_1;256002;ACESULFAME DE POTASIO;22MP3404;15/11/2022;14/11/2022;crduna;1;25;P;2;Argentina;10;ARMA S.A.;MP
inf123447;126686_1;137013D;TAMSULOSINA CLORHIDRATO;22DE0196;13/07/2022;11/07/2022;crduna;1;0,5;P;2;Argentina;11;LA HEALTHCARE LTD;MP
inf133825;126349_1;10110;AMLODIPINA BESILATO;22MP3258;23/09/2022;22/09/2022;crduna;5;100;P;2;Argentina;11;LA HEALTHCARE LTD;MP
inf136616;128222_1;10110;AMLODIPINA BESILATO;22MP3312;17/10/2022;17/10/2022;crduna;2;36,1;P;2;Argentina;11;LA HEALTHCARE LTD;MP
inf136617;128222_1;10110;AMLODIPINA BESILATO;22MP3313;17/10/2022;17/10/2022;crduna;10;183,9;P;2;Argentina;11;LA HEALTHCARE LTD;MP
inf136618;128222_1;10110;AMLODIPINA BESILATO;22MP3314;17/10/2022;17/10/2022;crduna;7;130;P;2;Argentina;11;LA HEALTHCARE LTD;MP
inf130075;128502_1;.;Rueda desecante;;31/08/2022;30/08/2022;crduna;0;1;M;1;Uruguay;12;ir S.L.U.;NP
inf130522;124457_1;253218;CAPS GEL RIGID 00 ELONG T;22MP3203;02/09/2022;01/09/2022;crduna;65;4225000;P;1;Uruguay;13;a Greenwood LLC;MP
inf102161;124744_1;133182;DESVENLAFAXINA;22MP2661;15/01/2022;15/01/2022;mcruz;6;106,9;P;2;Argentina;14;CHEM S.A.;MP
inf102159;124744_1;133182;DESVENLAFAXINA;22MP2660;15/01/2022;15/01/2022;mcruz;6;104,1;P;2;Argentina;14;CHEM S.A.;MP
inf102155;121379_2;133182;DESVENLAFAXINA;22MP2659;15/01/2022;15/01/2022;mcruz;5;86,4;P;2;Argentina;14;CHEM S.A.;MP
inf103722;121379_2;133182;DESVENLAFAXINA;22MP2686;28/01/2022;28/01/2022;crduna;6;117,5;P;2;Argentina;14;CHEM S.A.;MP
inf103721;121379_2;133182;DESVENLAFAXINA;22MP2685;28/01/2022;28/01/2022;crduna;5;86;P;2;Argentina;14;CHEM S.A.;MP
inf103720;118012_1;133182;DESVENLAFAXINA;22MP2684;28/01/2022;28/01/2022;crduna;5;82,9;P;2;Argentina;14;CHEM S.A.;MP
inf103716;118012_1;133182;DESVENLAFAXINA;22MP2683;28/01/2022;28/01/2022;crduna;6;113,8;P;2;Argentina;14;CHEM S.A.;MP
inf107308;125393_1;133182;DESVENLAFAXINA;22MP2771;08/03/2022;04/03/2022;crduna;6;112,55;P;2;Argentina;14;CHEM S.A.;MP
inf107306;125393_1;133182;DESVENLAFAXINA;22MP2770;08/03/2022;04/03/2022;crduna;5;89,25;P;2;Argentina;14;CHEM S.A.;MP
inf112557;124956_1;133182;DESVENLAFAXINA;22MP2858;20/04/2022;19/04/2022;crduna;7;134;P;2;Argentina;14;CHEM S.A.;MP
inf122176;123383_1;133182;DESVENLAFAXINA;22MP3020;05/07/2022;04/07/2022;crduna;5;92,75;P;2;Argentina;14;CHEM S.A.;MP
inf122183;123383_1;133182;DESVENLAFAXINA;22MP3022;05/07/2022;04/07/2022;crduna;5;94,75;P;2;Argentina;14;CHEM S.A.;MP
inf122184;123383_1;133182;DESVENLAFAXINA;22MP3023;05/07/2022;04/07/2022;crduna;7;128,05;P;2;Argentina;14;CHEM S.A.;MP
inf122185;123383_1;133182;DESVENLAFAXINA;22MP3024;05/07/2022;04/07/2022;crduna;6;104,85;P;2;Argentina;14;CHEM S.A.;MP
inf122177;123383_1;133182;DESVENLAFAXINA;22MP3021;05/07/2022;04/07/2022;crduna;5;97,95;P;2;Argentina;14;CHEM S.A.;MP
inf127760;124720_1;10995;GABAPENTIN;22MP3148;13/08/2022;13/08/2022;fball;18;450;P;2;Argentina;15;FARMA;MP
inf127759;124720_1;10995;GABAPENTIN;22MP3147;13/08/2022;13/08/2022;fball;14;350;P;2;Argentina;15;FARMA;MP
inf127773;124720_2;10995;GABAPENTIN;22MP3150;16/08/2022;16/08/2022;crduna;18;450;P;2;Argentina;15;FARMA;MP
inf133288;125955_1;10995;GABAPENTIN;22MP3247;21/09/2022;20/09/2022;crduna;16;400;P;2;Argentina;15;FARMA;MP
inf133289;125955_1;10995;GABAPENTIN;22MP3248;21/09/2022;20/09/2022;crduna;16;400;P;2;Argentina;15;FARMA;MP
inf146551;127488_1;10995;GABAPENTIN;22MP3526;23/12/2022;17/12/2022;crduna;18;441;P;2;Argentina;15;FARMA;MP
inf106287;120953_2;12100;SERTRALINA CLORHIDRATO;22MP2751;23/02/2022;23/02/2022;mcruz;7;175;P;2;Argentina;16;REDDY'S LABORATORIES LTD;MP
inf106292;120953_2;12100;SERTRALINA CLORHIDRATO;22MP2752;23/02/2022;23/02/2022;mcruz;11;275;P;2;Argentina;16;REDDY'S LABORATORIES LTD;MP
inf106294;120953_2;12100;SERTRALINA CLORHIDRATO;22MP2753;23/02/2022;23/02/2022;mcruz;11;275;P;2;Argentina;16;REDDY'S LABORATORIES LTD;MP
inf106295;120953_2;12100;SERTRALINA CLORHIDRATO;22MP2754;23/02/2022;23/02/2022;mcruz;8;200;P;2;Argentina;16;REDDY'S LABORATORIES LTD;MP
inf111568;123511_1;12045;RISPERIDONA;22MP2846;11/04/2022;11/04/2022;crduna;1;5;P;2;Argentina;16;REDDY'S LABORATORIES LTD;MP
